date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:05:11	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Apr%202022%2002:05:12%20GMT	https://www.spruko.com/robots.txt		(from )
03:05:11	144000/144000	U-----	200	untouched ('OK')	text/html	date:Tue,%2020%20Oct%202020%2012:36:02%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/index.html	(from )
03:05:17	155758/155758	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:47:05%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-4.1.3/css/bootstrap.min.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-4.1.3/css/bootstrap.min.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:17	1790/1790	U-----	200	untouched ('')	image/png	date:Tue,%2020%20Oct%202020%2012:39:55%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/images/brand/favicon.png	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/images/brand/favicon.png	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:18	817749/817749	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:35%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:18	37494/37494	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:29%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/default.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/default.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:24	21811/21811	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:32%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/sidemenu.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/sidemenu.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:24	4731/4731	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:44:11%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/owl-carousel/owl.carousel.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/owl-carousel/owl.carousel.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:25	7310/7310	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:42:38%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-daterangepicker/daterangepicker.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-daterangepicker/daterangepicker.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:25	17281/17281	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:42:34%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-datepicker/bootstrap-datepicker.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-datepicker/bootstrap-datepicker.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:26	54100/54100	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:44:22%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/scroll-bar/jquery.mCustomScrollbar.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/scroll-bar/jquery.mCustomScrollbar.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:26	3671/3671	U-----	200	untouched ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:30%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/sidemenu-responsive-tabs.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/sidemenu-responsive-tabs.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
03:05:26	678/678	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2026%20Apr%202022%2002:05:27%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/images/thumbnails/thumb2.jpg	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20Dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/images/thumbnails/thumb2.jpg	(from https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css)
