date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Apr%202022%2001:09:10%20GMT	https://www.spruko.com/robots.txt		(from )
02:09:10	144000/144000	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Oct%202020%2012:36:02%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/index.html	(from )
02:09:11	1790/1790	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Oct%202020%2012:39:55%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/images/brand/favicon.png	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/images/brand/favicon.png	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:12	155758/155758	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:47:05%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-4.1.3/css/bootstrap.min.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-4.1.3/css/bootstrap.min.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:13	37494/37494	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:29%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/default.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/default.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:13	21811/21811	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:32%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/sidemenu.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/sidemenu.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:13	817749/817749	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:38:35%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/css/style.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:14	4731/4731	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:44:11%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/owl-carousel/owl.carousel.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/owl-carousel/owl.carousel.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:14	7310/7310	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:42:38%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-daterangepicker/daterangepicker.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-daterangepicker/daterangepicker.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:14	17281/17281	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Oct%202020%2012:42:34%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-datepicker/bootstrap-datepicker.css	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-datepicker/bootstrap-datepicker.css	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
